province;red;green;blue;x;x
60;20;20;20;PLACEHOLDER60;x
61;20;20;21;PLACEHOLDER61;x
62;20;21;21;PLACEHOLDER62;x
63;21;21;21;PLACEHOLDER63;x
64;21;21;22;PLACEHOLDER64;x
65;21;22;22;PLACEHOLDER65;x
66;22;22;22;PLACEHOLDER66;x
67;22;22;23;PLACEHOLDER67;x
68;22;23;23;PLACEHOLDER68;x
69;23;23;23;PLACEHOLDER69;x
70;23;23;24;PLACEHOLDER70;x
71;23;24;24;PLACEHOLDER71;x
72;24;24;24;PLACEHOLDER72;x
73;24;24;25;PLACEHOLDER73;x
74;24;25;25;PLACEHOLDER74;x
75;25;25;25;PLACEHOLDER75;x
76;25;25;26;PLACEHOLDER76;x
77;25;26;26;PLACEHOLDER77;x
78;26;26;26;PLACEHOLDER78;x
79;26;26;27;PLACEHOLDER79;x
80;26;27;27;PLACEHOLDER80;x
81;27;27;27;PLACEHOLDER81;x
82;27;27;28;PLACEHOLDER82;x
83;27;28;28;PLACEHOLDER83;x
84;28;28;28;PLACEHOLDER84;x
85;28;28;29;PLACEHOLDER85;x
86;28;29;29;PLACEHOLDER86;x
87;29;29;29;PLACEHOLDER87;x
88;29;29;30;PLACEHOLDER88;x
89;29;30;30;PLACEHOLDER89;x
90;30;30;30;PLACEHOLDER90;x
91;30;30;31;PLACEHOLDER91;x
92;30;31;31;PLACEHOLDER92;x
93;31;31;31;PLACEHOLDER93;x
94;31;31;32;PLACEHOLDER94;x
95;31;32;32;PLACEHOLDER95;x
96;32;32;32;PLACEHOLDER96;x
97;32;32;33;PLACEHOLDER97;x
98;32;33;33;PLACEHOLDER98;x
99;33;33;33;PLACEHOLDER99;x
100;33;33;34;PLACEHOLDER100;x
101;33;34;34;PLACEHOLDER101;x
102;34;34;34;PLACEHOLDER102;x
103;34;34;35;PLACEHOLDER103;x
104;34;35;35;PLACEHOLDER104;x
105;35;35;35;PLACEHOLDER105;x
106;35;35;36;PLACEHOLDER106;x
107;35;36;36;PLACEHOLDER107;x
108;36;36;36;PLACEHOLDER108;x
109;36;36;37;PLACEHOLDER109;x
110;36;37;37;PLACEHOLDER110;x
111;37;37;37;PLACEHOLDER111;x
112;37;37;38;PLACEHOLDER112;x
113;37;38;38;PLACEHOLDER113;x
114;38;38;38;PLACEHOLDER114;x
115;38;38;39;PLACEHOLDER115;x
116;38;39;39;PLACEHOLDER116;x
117;39;39;39;PLACEHOLDER117;x
118;39;39;40;PLACEHOLDER118;x
119;39;40;40;PLACEHOLDER119;x
120;40;40;40;PLACEHOLDER120;x
121;40;40;41;PLACEHOLDER121;x
122;40;41;41;PLACEHOLDER122;x
123;41;41;41;PLACEHOLDER123;x
124;41;41;42;PLACEHOLDER124;x
125;41;42;42;PLACEHOLDER125;x
126;42;42;42;PLACEHOLDER126;x
127;42;42;43;PLACEHOLDER127;x
128;42;43;43;PLACEHOLDER128;x
129;43;43;43;PLACEHOLDER129;x
130;43;43;44;PLACEHOLDER130;x
131;43;44;44;PLACEHOLDER131;x
132;44;44;44;PLACEHOLDER132;x
133;44;44;45;PLACEHOLDER133;x
134;44;45;45;PLACEHOLDER134;x
135;45;45;45;PLACEHOLDER135;x
136;45;45;46;PLACEHOLDER136;x
137;45;46;46;PLACEHOLDER137;x
138;46;46;46;PLACEHOLDER138;x
139;46;46;47;PLACEHOLDER139;x
140;46;47;47;PLACEHOLDER140;x
141;47;47;47;PLACEHOLDER141;x
142;47;47;48;PLACEHOLDER142;x
143;47;48;48;PLACEHOLDER143;x
144;48;48;48;PLACEHOLDER144;x
145;48;48;49;PLACEHOLDER145;x
146;48;49;49;PLACEHOLDER146;x
147;49;49;49;PLACEHOLDER147;x
148;49;49;50;PLACEHOLDER148;x
149;49;50;50;PLACEHOLDER149;x
150;50;50;50;PLACEHOLDER150;x
151;50;50;51;PLACEHOLDER151;x
152;50;51;51;PLACEHOLDER152;x
153;51;51;51;PLACEHOLDER153;x
154;51;51;52;PLACEHOLDER154;x
155;51;52;52;PLACEHOLDER155;x
156;52;52;52;PLACEHOLDER156;x
157;52;52;53;PLACEHOLDER157;x
158;52;53;53;PLACEHOLDER158;x
159;53;53;53;PLACEHOLDER159;x
160;53;53;54;PLACEHOLDER160;x
161;53;54;54;PLACEHOLDER161;x
162;54;54;54;PLACEHOLDER162;x
163;54;54;55;PLACEHOLDER163;x
164;54;55;55;PLACEHOLDER164;x
165;55;55;55;PLACEHOLDER165;x
166;55;55;56;PLACEHOLDER166;x
167;55;56;56;PLACEHOLDER167;x
168;56;56;56;PLACEHOLDER168;x
169;56;56;57;PLACEHOLDER169;x
170;56;57;57;PLACEHOLDER170;x
171;57;57;57;PLACEHOLDER171;x
172;57;57;58;PLACEHOLDER172;x
173;57;58;58;PLACEHOLDER173;x
174;58;58;58;PLACEHOLDER174;x
175;58;58;59;PLACEHOLDER175;x
176;58;59;59;PLACEHOLDER176;x
177;59;59;59;PLACEHOLDER177;x
178;59;59;60;PLACEHOLDER178;x
179;59;60;60;PLACEHOLDER179;x
180;60;60;60;PLACEHOLDER180;x
181;60;60;61;PLACEHOLDER181;x
182;60;61;61;PLACEHOLDER182;x
183;61;61;61;PLACEHOLDER183;x
184;61;61;62;PLACEHOLDER184;x
185;61;62;62;PLACEHOLDER185;x
186;62;62;62;PLACEHOLDER186;x
187;62;62;63;PLACEHOLDER187;x
188;62;63;63;PLACEHOLDER188;x
189;63;63;63;PLACEHOLDER189;x
190;63;63;64;PLACEHOLDER190;x
191;63;64;64;PLACEHOLDER191;x
192;64;64;64;PLACEHOLDER192;x
193;64;64;65;PLACEHOLDER193;x
194;64;65;65;PLACEHOLDER194;x
195;65;65;65;PLACEHOLDER195;x
196;65;65;66;PLACEHOLDER196;x
197;65;66;66;PLACEHOLDER197;x
198;66;66;66;PLACEHOLDER198;x
199;66;66;67;PLACEHOLDER199;x
200;66;67;67;PLACEHOLDER200;x
201;67;67;67;PLACEHOLDER201;x
202;67;67;68;PLACEHOLDER202;x
203;67;68;68;PLACEHOLDER203;x
204;68;68;68;PLACEHOLDER204;x
205;68;68;69;PLACEHOLDER205;x
206;68;69;69;PLACEHOLDER206;x
207;69;69;69;PLACEHOLDER207;x
208;69;69;70;PLACEHOLDER208;x
209;69;70;70;PLACEHOLDER209;x
210;70;70;70;PLACEHOLDER210;x
211;70;70;71;PLACEHOLDER211;x
212;70;71;71;PLACEHOLDER212;x
213;71;71;71;PLACEHOLDER213;x
214;71;71;72;PLACEHOLDER214;x
215;71;72;72;PLACEHOLDER215;x
216;72;72;72;PLACEHOLDER216;x
217;72;72;73;PLACEHOLDER217;x
218;72;73;73;PLACEHOLDER218;x
219;73;73;73;PLACEHOLDER219;x
220;73;73;74;PLACEHOLDER220;x
221;73;74;74;PLACEHOLDER221;x
222;74;74;74;PLACEHOLDER222;x
223;74;74;75;PLACEHOLDER223;x
224;74;75;75;PLACEHOLDER224;x
225;75;75;75;PLACEHOLDER225;x
226;75;75;76;PLACEHOLDER226;x
227;75;76;76;PLACEHOLDER227;x
228;76;76;76;PLACEHOLDER228;x
229;76;76;77;PLACEHOLDER229;x
230;76;77;77;PLACEHOLDER230;x
231;77;77;77;PLACEHOLDER231;x
232;77;77;78;PLACEHOLDER232;x
233;77;78;78;PLACEHOLDER233;x
234;78;78;78;PLACEHOLDER234;x
235;78;78;79;PLACEHOLDER235;x
236;78;79;79;PLACEHOLDER236;x
237;79;79;79;PLACEHOLDER237;x
238;79;79;80;PLACEHOLDER238;x
239;79;80;80;PLACEHOLDER239;x
240;80;80;80;PLACEHOLDER240;x
241;80;80;81;PLACEHOLDER241;x
242;80;81;81;PLACEHOLDER242;x
243;81;81;81;PLACEHOLDER243;x
244;81;81;82;PLACEHOLDER244;x
245;81;82;82;PLACEHOLDER245;x
246;82;82;82;PLACEHOLDER246;x
247;82;82;83;PLACEHOLDER247;x
248;82;83;83;PLACEHOLDER248;x
249;83;83;83;PLACEHOLDER249;x
250;83;83;84;PLACEHOLDER250;x
251;83;84;84;PLACEHOLDER251;x
252;84;84;84;PLACEHOLDER252;x
253;84;84;85;PLACEHOLDER253;x
254;84;85;85;PLACEHOLDER254;x
255;85;85;85;PLACEHOLDER255;x
256;85;85;86;PLACEHOLDER256;x
257;85;86;86;PLACEHOLDER257;x
258;86;86;86;PLACEHOLDER258;x
259;86;86;87;PLACEHOLDER259;x
260;86;87;87;PLACEHOLDER260;x
261;87;87;87;PLACEHOLDER261;x
262;87;87;88;PLACEHOLDER262;x
263;87;88;88;PLACEHOLDER263;x
264;88;88;88;PLACEHOLDER264;x
265;88;88;89;PLACEHOLDER265;x
266;88;89;89;PLACEHOLDER266;x
267;89;89;89;PLACEHOLDER267;x
268;89;89;90;PLACEHOLDER268;x
269;89;90;90;PLACEHOLDER269;x
270;90;90;90;PLACEHOLDER270;x
271;90;90;91;PLACEHOLDER271;x
272;90;91;91;PLACEHOLDER272;x
273;91;91;91;PLACEHOLDER273;x
274;91;91;92;PLACEHOLDER274;x
275;91;92;92;PLACEHOLDER275;x
276;92;92;92;PLACEHOLDER276;x
277;92;92;93;PLACEHOLDER277;x
278;92;93;93;PLACEHOLDER278;x
279;93;93;93;PLACEHOLDER279;x
280;93;93;94;PLACEHOLDER280;x
281;93;94;94;PLACEHOLDER281;x
282;94;94;94;PLACEHOLDER282;x
283;94;94;95;PLACEHOLDER283;x
284;94;95;95;PLACEHOLDER284;x
285;95;95;95;PLACEHOLDER285;x
286;95;95;96;PLACEHOLDER286;x
287;95;96;96;PLACEHOLDER287;x
288;96;96;96;PLACEHOLDER288;x
289;96;96;97;PLACEHOLDER289;x
290;96;97;97;PLACEHOLDER290;x
291;97;97;97;PLACEHOLDER291;x
292;97;97;98;PLACEHOLDER292;x
293;97;98;98;PLACEHOLDER293;x
294;98;98;98;PLACEHOLDER294;x
295;98;98;99;PLACEHOLDER295;x
296;98;99;99;PLACEHOLDER296;x
297;99;99;99;PLACEHOLDER297;x
298;99;99;100;PLACEHOLDER298;x
299;99;100;100;PLACEHOLDER299;x
300;100;100;100;PLACEHOLDER300;x
301;100;100;101;PLACEHOLDER301;x
302;100;101;101;PLACEHOLDER302;x
303;101;101;101;PLACEHOLDER303;x
304;101;101;102;PLACEHOLDER304;x
305;101;102;102;PLACEHOLDER305;x
306;102;102;102;PLACEHOLDER306;x
307;102;102;103;PLACEHOLDER307;x
308;102;103;103;PLACEHOLDER308;x
309;103;103;103;PLACEHOLDER309;x
310;103;103;104;PLACEHOLDER310;x
311;103;104;104;PLACEHOLDER311;x
312;104;104;104;PLACEHOLDER312;x
313;104;104;105;PLACEHOLDER313;x
314;104;105;105;PLACEHOLDER314;x
315;105;105;105;PLACEHOLDER315;x
316;105;105;106;PLACEHOLDER316;x
317;105;106;106;PLACEHOLDER317;x
318;106;106;106;PLACEHOLDER318;x
319;106;106;107;PLACEHOLDER319;x
320;106;107;107;PLACEHOLDER320;x
321;107;107;107;PLACEHOLDER321;x
322;107;107;108;PLACEHOLDER322;x
323;107;108;108;PLACEHOLDER323;x
324;108;108;108;PLACEHOLDER324;x
325;108;108;109;PLACEHOLDER325;x
326;108;109;109;PLACEHOLDER326;x
327;109;109;109;PLACEHOLDER327;x
328;109;109;110;PLACEHOLDER328;x
329;109;110;110;PLACEHOLDER329;x
330;110;110;110;PLACEHOLDER330;x
331;110;110;111;PLACEHOLDER331;x
332;110;111;111;PLACEHOLDER332;x
333;111;111;111;PLACEHOLDER333;x
334;111;111;112;PLACEHOLDER334;x
335;111;112;112;PLACEHOLDER335;x
336;112;112;112;PLACEHOLDER336;x
337;112;112;113;PLACEHOLDER337;x
338;112;113;113;PLACEHOLDER338;x
339;113;113;113;PLACEHOLDER339;x
340;113;113;114;PLACEHOLDER340;x
341;113;114;114;PLACEHOLDER341;x
342;114;114;114;PLACEHOLDER342;x
343;114;114;115;PLACEHOLDER343;x
344;114;115;115;PLACEHOLDER344;x
345;115;115;115;PLACEHOLDER345;x
346;115;115;116;PLACEHOLDER346;x
347;115;116;116;PLACEHOLDER347;x
348;116;116;116;PLACEHOLDER348;x
349;116;116;117;PLACEHOLDER349;x
350;116;117;117;PLACEHOLDER350;x
351;117;117;117;PLACEHOLDER351;x
352;117;117;118;PLACEHOLDER352;x
353;117;118;118;PLACEHOLDER353;x
354;118;118;118;PLACEHOLDER354;x
355;118;118;119;PLACEHOLDER355;x
356;118;119;119;PLACEHOLDER356;x
357;119;119;119;PLACEHOLDER357;x
358;119;119;120;PLACEHOLDER358;x
359;119;120;120;PLACEHOLDER359;x
360;120;120;120;PLACEHOLDER360;x
361;120;120;121;PLACEHOLDER361;x
362;120;121;121;PLACEHOLDER362;x
363;121;121;121;PLACEHOLDER363;x
364;121;121;122;PLACEHOLDER364;x
365;121;122;122;PLACEHOLDER365;x
366;122;122;122;PLACEHOLDER366;x
367;122;122;123;PLACEHOLDER367;x
368;122;123;123;PLACEHOLDER368;x
369;123;123;123;PLACEHOLDER369;x
370;123;123;124;PLACEHOLDER370;x
371;123;124;124;PLACEHOLDER371;x
372;124;124;124;PLACEHOLDER372;x
373;124;124;125;PLACEHOLDER373;x
374;124;125;125;PLACEHOLDER374;x
375;125;125;125;PLACEHOLDER375;x
376;125;125;126;PLACEHOLDER376;x
377;125;126;126;PLACEHOLDER377;x
378;126;126;126;PLACEHOLDER378;x
379;126;126;127;PLACEHOLDER379;x
380;126;127;127;PLACEHOLDER380;x
381;127;127;127;PLACEHOLDER381;x
382;127;127;128;PLACEHOLDER382;x
383;127;128;128;PLACEHOLDER383;x
384;128;128;128;PLACEHOLDER384;x
385;128;128;129;PLACEHOLDER385;x
386;128;129;129;PLACEHOLDER386;x
387;129;129;129;PLACEHOLDER387;x
388;129;129;130;PLACEHOLDER388;x
389;129;130;130;PLACEHOLDER389;x
390;130;130;130;PLACEHOLDER390;x
391;130;130;131;PLACEHOLDER391;x
392;130;131;131;PLACEHOLDER392;x
393;131;131;131;PLACEHOLDER393;x
394;131;131;132;PLACEHOLDER394;x
395;131;132;132;PLACEHOLDER395;x
396;132;132;132;PLACEHOLDER396;x
397;132;132;133;PLACEHOLDER397;x
398;132;133;133;PLACEHOLDER398;x
399;133;133;133;PLACEHOLDER399;x
400;133;133;134;PLACEHOLDER400;x
401;133;134;134;PLACEHOLDER401;x
402;134;134;134;PLACEHOLDER402;x
403;134;134;135;PLACEHOLDER403;x
404;134;135;135;PLACEHOLDER404;x
405;135;135;135;PLACEHOLDER405;x
406;135;135;136;PLACEHOLDER406;x
407;135;136;136;PLACEHOLDER407;x
408;136;136;136;PLACEHOLDER408;x
409;136;136;137;PLACEHOLDER409;x
410;136;137;137;PLACEHOLDER410;x
411;137;137;137;PLACEHOLDER411;x
412;137;137;138;PLACEHOLDER412;x
413;137;138;138;PLACEHOLDER413;x
414;138;138;138;PLACEHOLDER414;x
415;138;138;139;PLACEHOLDER415;x
416;138;139;139;PLACEHOLDER416;x
417;139;139;139;PLACEHOLDER417;x
418;139;139;140;PLACEHOLDER418;x
419;139;140;140;PLACEHOLDER419;x
420;140;140;140;PLACEHOLDER420;x
421;140;140;141;PLACEHOLDER421;x
422;140;141;141;PLACEHOLDER422;x
423;141;141;141;PLACEHOLDER423;x
424;141;141;142;PLACEHOLDER424;x
425;141;142;142;PLACEHOLDER425;x
426;142;142;142;PLACEHOLDER426;x
427;142;142;143;PLACEHOLDER427;x
428;142;143;143;PLACEHOLDER428;x
429;143;143;143;PLACEHOLDER429;x
430;143;143;144;PLACEHOLDER430;x
431;143;144;144;PLACEHOLDER431;x
432;144;144;144;PLACEHOLDER432;x
433;144;144;145;PLACEHOLDER433;x
434;144;145;145;PLACEHOLDER434;x
435;145;145;145;PLACEHOLDER435;x
436;145;145;146;PLACEHOLDER436;x
437;145;146;146;PLACEHOLDER437;x
438;146;146;146;PLACEHOLDER438;x
439;146;146;147;PLACEHOLDER439;x
440;146;147;147;PLACEHOLDER440;x
441;147;147;147;PLACEHOLDER441;x
442;147;147;148;PLACEHOLDER442;x
443;147;148;148;PLACEHOLDER443;x
444;148;148;148;PLACEHOLDER444;x
445;148;148;149;PLACEHOLDER445;x
446;148;149;149;PLACEHOLDER446;x
447;149;149;149;PLACEHOLDER447;x
448;149;149;150;PLACEHOLDER448;x
449;149;150;150;PLACEHOLDER449;x
450;150;150;150;PLACEHOLDER450;x
451;150;150;151;PLACEHOLDER451;x
452;150;151;151;PLACEHOLDER452;x
453;151;151;151;PLACEHOLDER453;x
454;151;151;152;PLACEHOLDER454;x
455;151;152;152;PLACEHOLDER455;x
456;152;152;152;PLACEHOLDER456;x
457;152;152;153;PLACEHOLDER457;x
458;152;153;153;PLACEHOLDER458;x
459;153;153;153;PLACEHOLDER459;x
460;153;153;154;PLACEHOLDER460;x
461;153;154;154;PLACEHOLDER461;x
462;154;154;154;PLACEHOLDER462;x
463;154;154;155;PLACEHOLDER463;x
464;154;155;155;PLACEHOLDER464;x
465;155;155;155;PLACEHOLDER465;x
466;155;155;156;PLACEHOLDER466;x
467;155;156;156;PLACEHOLDER467;x
468;156;156;156;PLACEHOLDER468;x
469;156;156;157;PLACEHOLDER469;x
470;156;157;157;PLACEHOLDER470;x
471;157;157;157;PLACEHOLDER471;x
472;157;157;158;PLACEHOLDER472;x
473;157;158;158;PLACEHOLDER473;x
474;158;158;158;PLACEHOLDER474;x
475;158;158;159;PLACEHOLDER475;x
476;158;159;159;PLACEHOLDER476;x
477;159;159;159;PLACEHOLDER477;x
478;159;159;160;PLACEHOLDER478;x
479;159;160;160;PLACEHOLDER479;x
480;160;160;160;PLACEHOLDER480;x
481;160;160;161;PLACEHOLDER481;x
482;160;161;161;PLACEHOLDER482;x
483;161;161;161;PLACEHOLDER483;x
484;161;161;162;PLACEHOLDER484;x
485;161;162;162;PLACEHOLDER485;x
486;162;162;162;PLACEHOLDER486;x
487;162;162;163;PLACEHOLDER487;x
488;162;163;163;PLACEHOLDER488;x
489;163;163;163;PLACEHOLDER489;x
490;163;163;164;PLACEHOLDER490;x
491;163;164;164;PLACEHOLDER491;x
492;164;164;164;PLACEHOLDER492;x
493;164;164;165;PLACEHOLDER493;x
494;164;165;165;PLACEHOLDER494;x
495;165;165;165;PLACEHOLDER495;x
496;165;165;166;PLACEHOLDER496;x
497;165;166;166;PLACEHOLDER497;x
498;166;166;166;PLACEHOLDER498;x
499;166;166;167;PLACEHOLDER499;x
500;166;167;167;PLACEHOLDER500;x
501;167;167;167;PLACEHOLDER501;x
502;167;167;168;PLACEHOLDER502;x
503;167;168;168;PLACEHOLDER503;x
504;168;168;168;PLACEHOLDER504;x
505;168;168;169;PLACEHOLDER505;x
506;168;169;169;PLACEHOLDER506;x
507;169;169;169;PLACEHOLDER507;x
508;169;169;170;PLACEHOLDER508;x
509;169;170;170;PLACEHOLDER509;x
510;170;170;170;PLACEHOLDER510;x
511;170;170;171;PLACEHOLDER511;x
512;170;171;171;PLACEHOLDER512;x
513;171;171;171;PLACEHOLDER513;x
514;171;171;172;PLACEHOLDER514;x
515;171;172;172;PLACEHOLDER515;x
516;172;172;172;PLACEHOLDER516;x
517;172;172;173;PLACEHOLDER517;x
518;172;173;173;PLACEHOLDER518;x
519;173;173;173;PLACEHOLDER519;x
520;173;173;174;PLACEHOLDER520;x
521;173;174;174;PLACEHOLDER521;x
522;174;174;174;PLACEHOLDER522;x
523;174;174;175;PLACEHOLDER523;x
524;174;175;175;PLACEHOLDER524;x
525;175;175;175;PLACEHOLDER525;x
526;175;175;176;PLACEHOLDER526;x
527;175;176;176;PLACEHOLDER527;x
528;176;176;176;PLACEHOLDER528;x
529;176;176;177;PLACEHOLDER529;x
530;176;177;177;PLACEHOLDER530;x
531;177;177;177;PLACEHOLDER531;x
532;177;177;178;PLACEHOLDER532;x
533;177;178;178;PLACEHOLDER533;x
534;178;178;178;PLACEHOLDER534;x
535;178;178;179;PLACEHOLDER535;x
536;178;179;179;PLACEHOLDER536;x
537;179;179;179;PLACEHOLDER537;x
538;179;179;180;PLACEHOLDER538;x
539;179;180;180;PLACEHOLDER539;x
540;180;180;180;PLACEHOLDER540;x
541;180;180;181;PLACEHOLDER541;x
542;180;181;181;PLACEHOLDER542;x
543;181;181;181;PLACEHOLDER543;x
544;181;181;182;PLACEHOLDER544;x
545;181;182;182;PLACEHOLDER545;x
546;182;182;182;PLACEHOLDER546;x
547;182;182;183;PLACEHOLDER547;x
548;182;183;183;PLACEHOLDER548;x
549;183;183;183;PLACEHOLDER549;x
550;183;183;184;PLACEHOLDER550;x
551;183;184;184;PLACEHOLDER551;x
552;184;184;184;PLACEHOLDER552;x
553;184;184;185;PLACEHOLDER553;x
554;184;185;185;PLACEHOLDER554;x
555;185;185;185;PLACEHOLDER555;x
556;185;185;186;PLACEHOLDER556;x
557;185;186;186;PLACEHOLDER557;x
558;186;186;186;PLACEHOLDER558;x
559;186;186;187;PLACEHOLDER559;x
560;186;187;187;PLACEHOLDER560;x
561;187;187;187;PLACEHOLDER561;x
562;187;187;188;PLACEHOLDER562;x
563;187;188;188;PLACEHOLDER563;x
564;188;188;188;PLACEHOLDER564;x
565;188;188;189;PLACEHOLDER565;x
566;188;189;189;PLACEHOLDER566;x
567;189;189;189;PLACEHOLDER567;x
568;189;189;190;PLACEHOLDER568;x
569;189;190;190;PLACEHOLDER569;x
570;190;190;190;PLACEHOLDER570;x
571;190;190;191;PLACEHOLDER571;x
572;190;191;191;PLACEHOLDER572;x
573;191;191;191;PLACEHOLDER573;x
574;191;191;192;PLACEHOLDER574;x
575;191;192;192;PLACEHOLDER575;x
576;192;192;192;PLACEHOLDER576;x
577;192;192;193;PLACEHOLDER577;x
578;192;193;193;PLACEHOLDER578;x
579;193;193;193;PLACEHOLDER579;x
580;193;193;194;PLACEHOLDER580;x
581;193;194;194;PLACEHOLDER581;x
582;194;194;194;PLACEHOLDER582;x
583;194;194;195;PLACEHOLDER583;x
584;194;195;195;PLACEHOLDER584;x
585;195;195;195;PLACEHOLDER585;x
586;195;195;196;PLACEHOLDER586;x
587;195;196;196;PLACEHOLDER587;x
588;196;196;196;PLACEHOLDER588;x
589;196;196;197;PLACEHOLDER589;x
590;196;197;197;PLACEHOLDER590;x
591;197;197;197;PLACEHOLDER591;x
592;197;197;198;PLACEHOLDER592;x
593;197;198;198;PLACEHOLDER593;x
594;198;198;198;PLACEHOLDER594;x
595;198;198;199;PLACEHOLDER595;x
596;198;199;199;PLACEHOLDER596;x
597;199;199;199;PLACEHOLDER597;x
598;199;199;200;PLACEHOLDER598;x
599;199;200;200;PLACEHOLDER599;x
600;200;200;200;PLACEHOLDER600;x
601;200;200;201;PLACEHOLDER601;x
602;200;201;201;PLACEHOLDER602;x
603;201;201;201;PLACEHOLDER603;x
604;201;201;202;PLACEHOLDER604;x
605;201;202;202;PLACEHOLDER605;x
606;202;202;202;PLACEHOLDER606;x
607;202;202;203;PLACEHOLDER607;x
608;202;203;203;PLACEHOLDER608;x
609;203;203;203;PLACEHOLDER609;x
610;203;203;204;PLACEHOLDER610;x
611;203;204;204;PLACEHOLDER611;x
612;204;204;204;PLACEHOLDER612;x
613;204;204;205;PLACEHOLDER613;x
614;204;205;205;PLACEHOLDER614;x
615;205;205;205;PLACEHOLDER615;x
616;205;205;206;PLACEHOLDER616;x
617;205;206;206;PLACEHOLDER617;x
618;206;206;206;PLACEHOLDER618;x
619;206;206;207;PLACEHOLDER619;x
620;206;207;207;PLACEHOLDER620;x
621;207;207;207;PLACEHOLDER621;x
622;207;207;208;PLACEHOLDER622;x
623;207;208;208;PLACEHOLDER623;x
624;208;208;208;PLACEHOLDER624;x
625;208;208;209;PLACEHOLDER625;x
626;208;209;209;PLACEHOLDER626;x
627;209;209;209;PLACEHOLDER627;x
628;209;209;210;PLACEHOLDER628;x
629;209;210;210;PLACEHOLDER629;x
630;210;210;210;PLACEHOLDER630;x
631;210;210;211;PLACEHOLDER631;x
632;210;211;211;PLACEHOLDER632;x
633;211;211;211;PLACEHOLDER633;x
634;211;211;212;PLACEHOLDER634;x
635;211;212;212;PLACEHOLDER635;x
636;212;212;212;PLACEHOLDER636;x
637;212;212;213;PLACEHOLDER637;x
638;212;213;213;PLACEHOLDER638;x
639;213;213;213;PLACEHOLDER639;x
640;213;213;214;PLACEHOLDER640;x
641;213;214;214;PLACEHOLDER641;x
642;214;214;214;PLACEHOLDER642;x
643;214;214;215;PLACEHOLDER643;x
644;214;215;215;PLACEHOLDER644;x
645;215;215;215;PLACEHOLDER645;x
646;215;215;216;PLACEHOLDER646;x
647;215;216;216;PLACEHOLDER647;x
648;216;216;216;PLACEHOLDER648;x
649;216;216;217;PLACEHOLDER649;x
650;216;217;217;PLACEHOLDER650;x
651;217;217;217;PLACEHOLDER651;x
652;217;217;218;PLACEHOLDER652;x
653;217;218;218;PLACEHOLDER653;x
654;218;218;218;PLACEHOLDER654;x
655;218;218;219;PLACEHOLDER655;x
656;218;219;219;PLACEHOLDER656;x
657;219;219;219;PLACEHOLDER657;x
658;219;219;220;PLACEHOLDER658;x
659;219;220;220;PLACEHOLDER659;x
660;220;220;220;PLACEHOLDER660;x
661;220;220;221;PLACEHOLDER661;x
662;220;221;221;PLACEHOLDER662;x
663;221;221;221;PLACEHOLDER663;x
664;221;221;222;PLACEHOLDER664;x
665;221;222;222;PLACEHOLDER665;x
666;222;222;222;PLACEHOLDER666;x
